baseMean log2FoldChange lfcSE stat pvalue padj
FBgn0003360 4342.8320615483 -3.12666766891857 0.109255930929994 -28.6178301013425 4.03166020325787e-180 3.4567454582733e-176
FBgn0026562 43909.4443835314 -2.47776427904544 0.0882907051445219 -28.0637047239528 2.71807933392507e-173 1.16524061045368e-169
FBgn0039155 730.567672556595 -4.6197903447844 0.166462487940421 -27.752741184776 1.61468349656825e-169 4.61476543319205e-166
FBgn0025111 1501.4479295742 2.85211032350067 0.104598719844051 27.2671628080436 1.04026069925907e-163 2.22979880886182e-160
FBgn0029167 3706.02400785474 -2.19702262985483 0.096751697210796 -22.7078458899601 3.74767732676418e-114 6.42651707993521e-111
FBgn0035085 638.219335651327 -2.58312839183771 0.12923653085722 -19.9876023807196 7.06079484920221e-89 1.008987583951e-85
FBgn0039827 261.911169759448 -4.18485635109247 0.216185805736531 -19.3576832523066 1.75607362838362e-83 2.15093932710874e-80
FBgn0034736 225.870671605661 -3.53495279431659 0.204757221772943 -17.2641177864609 8.76328397332583e-67 9.39204959841195e-64
FBgn0000071 342.246487725455 2.6214493906318 0.157983299716302 16.593205708067 7.80413496042961e-62 7.43473923896927e-59
FBgn0029896 489.877246619059 -2.4429029203361 0.147398949148934 -16.5734079818151 1.08498449755696e-61 9.30265708205337e-59
FBgn0038832 301.911362068779 -2.49369606107269 0.174821567788668 -14.2642357725974 3.65574766660825e-46 2.84948913577265e-43
FBgn0034897 892.485155473449 -1.93388612769613 0.140741447955565 -13.7407008083837 5.79124879117284e-43 4.13784726129299e-40
FBgn0040091 1106.50895128494 -1.57547766672154 0.117210516141008 -13.4414361321145 3.45662375080291e-41 2.27977631072186e-38
FBgn0035189 215.654948171641 2.89095006672655 0.215815426564448 13.3954746087775 6.4263915207575e-41 3.9357057784982e-38
FBgn0034434 114.623344446462 -3.65188335277633 0.27667541808335 -13.1991608726012 8.87177975718534e-40 5.07110930920714e-37
FBgn0037754 269.747253760138 -2.25909741471966 0.174279010532195 -12.9625329396872 1.99547795577731e-38 1.06932674955217e-35
FBgn0261552 5128.6158935707 -1.86872865872154 0.146603873580947 -12.7467891064264 3.24851764561443e-37 1.6383994290293e-34
FBgn0027279 2954.90726348927 -1.18259995281621 0.0930198796766705 -12.7134109066452 4.98133133883485e-37 2.372774161065e-34
FBgn0001226 1323.90943619999 1.66579278105143 0.131228423594084 12.6938412839895 6.39696917581103e-37 2.88671651123178e-34
FBgn0040099 910.08257602036 -1.74768351187304 0.139458422368169 -12.5319323293302 4.99310996774754e-36 2.14054624317337e-33
FBgn0003501 277.460809952997 2.13237218248245 0.17246289120116 12.3642377072019 4.08064051910076e-35 1.66606722908428e-32
FBgn0051092 153.068561614784 2.31728611749913 0.188747525147006 12.2771735189339 1.20121969147289e-34 4.68148074304024e-32
FBgn0023479 3091.78196454293 -1.53218668722649 0.124893014112393 -12.267993515215 1.34546301573121e-34 5.01565212907801e-32
FBgn0039419 1564.28099570834 -1.16698356368099 0.0985513738329112 -11.8413728626406 2.38516322933824e-32 8.52099563681087e-30
FBgn0052407 187.050167913661 -2.17063546127611 0.18420910651141 -11.7835404686775 4.74569701324712e-32 1.62758424766323e-29
FBgn0033913 5212.96176538917 -1.16949445496945 0.100313465805572 -11.6583994539294 2.07913929641781e-31 6.85636166441779e-29
FBgn0031150 795.375914895633 1.24252897983109 0.109285074912393 11.3696127383099 5.92498771676319e-30 1.88151276605658e-27
FBgn0040827 215.979868086714 -1.97460976429789 0.17516117231162 -11.2731020136413 1.78179721255313e-29 5.45611760729663e-27
FBgn0034010 547.240149120962 -1.46291435420213 0.132836397848969 -11.0129029233797 3.31158386887567e-28 9.79086899715172e-26
FBgn0001224 598.932007347051 1.46821080735346 0.134215508551532 10.939203846102 7.48543432313002e-28 2.07032625440377e-25
FBgn0051363 7162.51253555424 0.966330573643005 0.0883272762248394 10.9403415903281 7.39208658477509e-28 2.07032625440377e-25
FBgn0033764 65.2059280189589 3.41716969579195 0.312600203810724 10.9314378370048 8.15459531091474e-28 2.18492188111822e-25
FBgn0003748 1095.97418687562 1.10011212744013 0.101646463429672 10.8229257597465 2.68080300691378e-27 6.96521363069053e-25
FBgn0035147 19322.7013020077 -1.17666383047913 0.108971625274779 -10.7978919054579 3.52196919189015e-27 8.88157760331358e-25
FBgn0031912 1318.33225228138 -1.11930190290284 0.104161567971253 -10.7458242488414 6.20055879417149e-27 1.51895974574932e-24
FBgn0011260 211.129678246791 2.1595775658245 0.206182211751016 10.4741216397096 1.13587135378479e-25 2.70526694093076e-23
FBgn0034751 16640.8459837339 -1.08431041632163 0.10357477680907 -10.4688655841416 1.20073275201286e-25 2.78245476101574e-23
FBgn0063649 646.192411101866 -1.29463964518282 0.123931529997909 -10.4464105720688 1.5217607274851e-25 3.43357275722559e-23
FBgn0032405 79.6159906120173 2.65454189869456 0.257387855015847 10.3133922093221 6.12986751268583e-25 1.34762779625047e-22
FBgn0085359 68.6061082175759 -4.89695791143541 0.478372169433762 -10.2367115487338 1.35772911128093e-24 2.91029235003067e-22
FBgn0261362 5796.45165295305 1.49116696236095 0.14591149048206 10.2196678098103 1.61894717273397e-24 3.3855739168344e-22
FBgn0037468 3146.69245875918 0.96641503364207 0.0946613472104363 10.2091831789979 1.80376867345249e-24 3.68226490623372e-22
FBgn0016715 150.872486038183 -2.00754679986707 0.199371439498701 -10.0693800722654 7.54521555098079e-24 1.50448088683975e-21
FBgn0039109 475.403846877735 -1.28531943126903 0.128434904420462 -10.0075554777635 1.41198282708017e-23 2.75144108167849e-21
FBgn0024288 58.8494875253442 -4.62135315211647 0.46809522025186 -9.87267750700368 5.46850486252184e-23 1.04193245980583e-20
FBgn0001225 420.302629286048 1.30749132808975 0.134580836184388 9.71528610729068 2.59519160598846e-22 4.83721148472719e-20
FBgn0031322 396.807063925681 -1.48917122942394 0.153597365834824 -9.69529146108773 3.15734902464112e-22 5.75981075261127e-20
FBgn0037290 67.0998167313376 3.08216509073088 0.321493438107331 9.58702332736851 9.06629054069734e-22 1.61946614783206e-19
FBgn0003137 4518.8903101848 0.907736115871283 0.0957729346467015 9.47800251939493 2.59197029731695e-21 4.5354190467746e-19
FBgn0050147 973.913541972156 -0.96405373529556 0.102299037857439 -9.42387881144142 4.34725017164579e-21 7.4546645943382e-19
FBgn0260011 89.2793535054463 2.29976519623276 0.244397055371402 9.40995460333138 4.96351240707396e-21 8.34454027024552e-19
FBgn0024315 92.0840267409837 -2.29394858741389 0.244457901898007 -9.38381852091233 6.3625745284121e-21 1.04909065397318e-18
FBgn0000406 265.504534086402 -2.07542050192476 0.222769100856732 -9.3164648685255 1.20281137034004e-20 1.94583107345197e-18
FBgn0038149 993.47812985692 1.01382751862568 0.10955161413264 9.25433665813626 2.15564725884553e-20 3.42268881432252e-18
FBgn0053307 1013.56661385984 -1.40593469425933 0.152109002741868 -9.24294202786422 2.39810930032399e-20 3.73843438926871e-18
FBgn0052521 2732.81952577674 -0.997242889543933 0.109372017296017 -9.11789792488587 7.65955106304098e-20 1.1727319788306e-17
FBgn0063498 343.868523446746 -1.34015743064202 0.148155849253138 -9.04559244469814 1.48855759309434e-19 2.2391040005598e-17
FBgn0052135 240.709567638936 1.39909318820935 0.156288838902611 8.95197122221358 3.49190003182403e-19 5.16199152980332e-17
FBgn0036985 1932.74323423911 -1.33270504844236 0.14922513372831 -8.93083500845629 4.22805270807461e-19 6.14429218966639e-17
FBgn0039464 820.539132138972 1.03893958210058 0.11655173376012 8.91397792707965 4.92336299811988e-19 7.0354857243133e-17
FBgn0001258 1520.18633836381 0.897157827633666 0.100992334216624 8.88342501035078 6.48326884809977e-19 9.11271263993564e-17
FBgn0033367 15324.9710040484 1.37999196930643 0.156987455599918 8.79046012965091 1.48948664664582e-18 2.05981588844214e-16
FBgn0030041 86.8708892913224 -2.83495289092495 0.324363240339465 -8.74005601854886 2.32994867165674e-18 3.17094919218807e-16
FBgn0051038 713.144504367655 -0.999811515301915 0.114910988940425 -8.70074763537425 3.29704740893769e-18 4.41701320066121e-16
FBgn0030237 2009.22649026279 -0.948463860669679 0.109426309497785 -8.6676034769214 4.41310516897858e-18 5.82122518751113e-16
FBgn0040271 1010.04565526286 0.926999603636892 0.107230980323055 8.6448860286842 5.38590292060836e-18 6.9967775214085e-16
