baseMean log2FoldChange lfcSE stat pvalue padj
FBgn0039155 730.595806139728 -4.08631533940729 0.140300862970772 -29.1253756597247 1.71342978295434e-186 1.46703858016551e-182
FBgn0003360 4343.03539692487 -2.95934011225109 0.102648958776634 -28.8297138862429 9.1018086394209e-183 3.89648427853609e-179
FBgn0026562 43909.3483914385 -2.38377080287918 0.0843489625074964 -28.2608194815357 1.04803447606382e-175 2.99109039468614e-172
FBgn0025111 1501.41051323996 2.71475710286636 0.0986029956442969 27.5321970202574 7.23052592336546e-167 1.54769407389638e-163
FBgn0029167 3706.11653071978 -2.10443185166912 0.0919119938067323 -22.896161474793 5.07388343270708e-116 8.6885179901676e-113
FBgn0039827 261.916235943103 -3.45409695924513 0.165435113040148 -20.8788623876171 8.33528022262641e-97 1.18944448776879e-93
FBgn0035085 638.232608936723 -2.38902326292324 0.118680630605781 -20.1298497550018 4.04218284416987e-90 4.94416707311177e-87
FBgn0034736 225.876362546023 -2.95326366138244 0.163528776141489 -18.0595961827979 6.63058593207377e-73 7.09638459380195e-70
FBgn0000071 342.2384071951 2.35429646698567 0.139969695033771 16.8200442704232 1.74028631489392e-63 1.65559238090242e-60
FBgn0029896 489.892369695729 -2.21419519529391 0.13254732880237 -16.7049401545867 1.20648981405585e-62 1.03299657879462e-59
FBgn0038832 301.922359913768 -2.17830844853282 0.150844029728151 -14.4407998941592 2.86497766321674e-47 2.22999443204197e-44
FBgn0034434 114.625559330683 -2.72415938011461 0.190928600503652 -14.2679481907296 3.46627733366056e-46 2.47318887756681e-43
FBgn0034897 892.504226935569 -1.76647979328996 0.128109673459558 -13.7888088041034 2.97633930101716e-43 1.9602628534853e-40
FBgn0035189 215.649109473704 2.38613451560335 0.174324164144144 13.6879160001612 1.19898936365096e-42 7.33267637969966e-40
FBgn0040091 1106.52964640409 -1.47869235496678 0.109550816980551 -13.4977756964542 1.61168908810704e-41 9.19952131491501e-39
FBgn0037754 269.759434828675 -1.97959546820239 0.150716426257964 -13.1345701152318 2.08673090951806e-39 1.11666187795585e-36
FBgn0261552 5128.82302485314 -1.70036627665451 0.132414365390548 -12.8412523191074 9.63039009670328e-38 4.85031764752785e-35
FBgn0027279 2954.97371231197 -1.13699332210923 0.0886903877978855 -12.8198032542185 1.27022425794087e-37 6.04203338693874e-35
FBgn0001226 1323.88502751031 1.54712562192977 0.120834671600669 12.8036564459138 1.56409505603282e-37 7.04830624723844e-35
FBgn0040099 910.115655435202 -1.60405982673715 0.127156015219672 -12.6148953627244 1.74789645930728e-36 7.48274474229447e-34
FBgn0003501 277.455454354175 1.87305361335741 0.150155392218863 12.4741015669107 1.03365477805747e-35 4.21435819510859e-33
FBgn0085359 68.610037631773 -2.71388979255108 0.217707119005305 -12.4657834109915 1.14738623494171e-35 4.46541861071405e-33
FBgn0051092 153.065603475219 1.98457082509491 0.159328625517266 12.4558334615135 1.29986376322207e-35 4.83888414813365e-33
FBgn0023479 3091.86000673672 -1.42636407153587 0.11575103426623 -12.3226896466013 6.83751349895555e-35 2.43928294075239e-32
FBgn0052407 187.056692286253 -1.87267175831925 0.15675220500392 -11.9467012172008 6.75537631354336e-33 2.31358127986233e-30
FBgn0039419 1564.3067965081 -1.11545554269445 0.0936494952543309 -11.910961609191 1.03773526976203e-32 3.41734206911635e-30
FBgn0033913 5213.06530296395 -1.115097225838 0.0951090145902551 -11.7244115149548 9.55628311639865e-32 3.03040355713353e-29
FBgn0024288 58.8511039030606 -2.55432915826051 0.217948933721683 -11.7198515938708 1.0084850886504e-31 3.08380333179454e-29
